39385 records sent, 7877.0 records/sec (7.51 MB/sec), 686.8 ms avg latency, 1902.0 ms max latency.
59975 records sent, 11985.4 records/sec (11.43 MB/sec), 321.2 ms avg latency, 1816.0 ms max latency.
44656 records sent, 8929.4 records/sec (8.52 MB/sec), 197.9 ms avg latency, 887.0 ms max latency.
28019 records sent, 5596.0 records/sec (5.34 MB/sec), 1249.8 ms avg latency, 3229.0 ms max latency.
17766 records sent, 3548.9 records/sec (3.38 MB/sec), 3940.0 ms avg latency, 6430.0 ms max latency.
21042 records sent, 4187.5 records/sec (3.99 MB/sec), 7704.1 ms avg latency, 9411.0 ms max latency.
28980 records sent, 5774.1 records/sec (5.51 MB/sec), 10311.6 ms avg latency, 11634.0 ms max latency.
32004 records sent, 6386.7 records/sec (6.09 MB/sec), 11190.4 ms avg latency, 12922.0 ms max latency.
11214 records sent, 2242.4 records/sec (2.14 MB/sec), 12176.9 ms avg latency, 15635.0 ms max latency.
26082 records sent, 5199.8 records/sec (4.96 MB/sec), 13902.3 ms avg latency, 16270.0 ms max latency.
12222 records sent, 2410.7 records/sec (2.30 MB/sec), 15705.2 ms avg latency, 19663.0 ms max latency.
7434 records sent, 1420.3 records/sec (1.35 MB/sec), 19152.5 ms avg latency, 23191.0 ms max latency.
32256 records sent, 6451.2 records/sec (6.15 MB/sec), 20339.7 ms avg latency, 25062.0 ms max latency.
23184 records sent, 4467.1 records/sec (4.26 MB/sec), 17564.5 ms avg latency, 20952.0 ms max latency.
24318 records sent, 4845.2 records/sec (4.62 MB/sec), 14177.4 ms avg latency, 20822.0 ms max latency.
22050 records sent, 4403.0 records/sec (4.20 MB/sec), 13696.1 ms avg latency, 15998.0 ms max latency.
34398 records sent, 6849.5 records/sec (6.53 MB/sec), 13348.3 ms avg latency, 16617.0 ms max latency.
17262 records sent, 3394.0 records/sec (3.24 MB/sec), 12063.5 ms avg latency, 15394.0 ms max latency.
19656 records sent, 3921.0 records/sec (3.74 MB/sec), 14092.2 ms avg latency, 16722.0 ms max latency.
16002 records sent, 3197.8 records/sec (3.05 MB/sec), 15400.0 ms avg latency, 18196.0 ms max latency.
24318 records sent, 4856.8 records/sec (4.63 MB/sec), 17184.5 ms avg latency, 20237.0 ms max latency.
16380 records sent, 3266.2 records/sec (3.11 MB/sec), 17116.4 ms avg latency, 21537.0 ms max latency.
24822 records sent, 4937.7 records/sec (4.71 MB/sec), 16438.3 ms avg latency, 21311.0 ms max latency.
12222 records sent, 2339.6 records/sec (2.23 MB/sec), 15904.8 ms avg latency, 20541.0 ms max latency.
18018 records sent, 3585.0 records/sec (3.42 MB/sec), 17904.1 ms avg latency, 22431.0 ms max latency.
23562 records sent, 4710.5 records/sec (4.49 MB/sec), 18474.6 ms avg latency, 23201.0 ms max latency.
20790 records sent, 4148.0 records/sec (3.96 MB/sec), 16888.9 ms avg latency, 22153.0 ms max latency.
20664 records sent, 4132.8 records/sec (3.94 MB/sec), 16592.8 ms avg latency, 24556.0 ms max latency.
21798 records sent, 4353.5 records/sec (4.15 MB/sec), 15065.5 ms avg latency, 22395.0 ms max latency.
23436 records sent, 4686.3 records/sec (4.47 MB/sec), 15613.8 ms avg latency, 21163.0 ms max latency.
19404 records sent, 3867.6 records/sec (3.69 MB/sec), 14872.8 ms avg latency, 21721.0 ms max latency.
25830 records sent, 5153.6 records/sec (4.91 MB/sec), 14803.0 ms avg latency, 21676.0 ms max latency.
15876 records sent, 3127.7 records/sec (2.98 MB/sec), 14519.8 ms avg latency, 21175.0 ms max latency.
15498 records sent, 3085.4 records/sec (2.94 MB/sec), 17241.6 ms avg latency, 22374.0 ms max latency.
13230 records sent, 2639.7 records/sec (2.52 MB/sec), 17891.0 ms avg latency, 24661.0 ms max latency.
18396 records sent, 3662.4 records/sec (3.49 MB/sec), 19143.2 ms avg latency, 25544.0 ms max latency.
