104690 records sent, 20912.9 records/sec (19.94 MB/sec), 3840.0 ms avg latency, 7865.0 ms max latency.
87066 records sent, 17413.2 records/sec (16.61 MB/sec), 3331.4 ms avg latency, 6494.0 ms max latency.
85806 records sent, 16629.1 records/sec (15.86 MB/sec), 3512.8 ms avg latency, 7028.0 ms max latency.
121842 records sent, 24344.1 records/sec (23.22 MB/sec), 3389.0 ms avg latency, 7862.0 ms max latency.
85806 records sent, 17161.2 records/sec (16.37 MB/sec), 3309.4 ms avg latency, 6887.0 ms max latency.
80640 records sent, 16128.0 records/sec (15.38 MB/sec), 3814.3 ms avg latency, 7826.0 ms max latency.
5796 records sent, 984.7 records/sec (0.94 MB/sec), 5462.1 ms avg latency, 11388.0 ms max latency.
21798 records sent, 4354.4 records/sec (4.15 MB/sec), 12384.0 ms avg latency, 16822.0 ms max latency.
33642 records sent, 6725.7 records/sec (6.41 MB/sec), 12026.3 ms avg latency, 19955.0 ms max latency.
12726 records sent, 2336.3 records/sec (2.23 MB/sec), 10415.0 ms avg latency, 20855.0 ms max latency.
20034 records sent, 4006.0 records/sec (3.82 MB/sec), 15961.1 ms avg latency, 28898.0 ms max latency.
63000 records sent, 12597.5 records/sec (12.01 MB/sec), 11639.6 ms avg latency, 29922.0 ms max latency.
60102 records sent, 12020.4 records/sec (11.46 MB/sec), 7405.7 ms avg latency, 22310.0 ms max latency.
55652 records sent, 11121.5 records/sec (10.61 MB/sec), 6027.4 ms avg latency, 14482.0 ms max latency.
47820 records sent, 5726.9 records/sec (5.46 MB/sec), 4998.7 ms avg latency, 11572.0 ms max latency.
94075 records sent, 18807.5 records/sec (17.94 MB/sec), 6512.8 ms avg latency, 16143.0 ms max latency.
95922 records sent, 19161.4 records/sec (18.27 MB/sec), 4622.8 ms avg latency, 14820.0 ms max latency.
111929 records sent, 22367.9 records/sec (21.33 MB/sec), 2966.0 ms avg latency, 8823.0 ms max latency.
125518 records sent, 25093.6 records/sec (23.93 MB/sec), 2579.2 ms avg latency, 7468.0 ms max latency.
58149 records sent, 11379.5 records/sec (10.85 MB/sec), 3430.5 ms avg latency, 9356.0 ms max latency.
31878 records sent, 6359.1 records/sec (6.06 MB/sec), 7515.4 ms avg latency, 13579.0 ms max latency.
35406 records sent, 4343.8 records/sec (4.14 MB/sec), 6994.2 ms avg latency, 16218.0 ms max latency.
